name,age,phone,email,purchase_frequency
Alice Larsson,54,072--394728  ,alice.larsson@distansakademin.se,low
Alice Smith,34,075--509817  ,alice.smith@distansakademin.se,medium
Bob Rasmus,62,077--493117  ,bob.rasmus@distansakademin.se,medium
Kivilä Larsson,35,077--960754  ,kivilä.larsson@distansakademin.se,medium
Charlie Smith,35,072--472618  ,charlie.smith@distansakademin.se,medium
Charlie Smith,18,074--434606  ,charlie.smith@distansakademin.se,low
Kivilä Larsson,56,075--935519  ,kivilä.larsson@distansakademin.se,medium
Kivilä Rasmus,60,079--113144  ,kivilä.rasmus@distansakademin.se,medium
Alice Smith,26,077--582083  ,alice.smith@distansakademin.se,low
Rafael Jackson,54,072--395271  ,rafael.jackson@distansakademin.se,high
Charlie Becker,23,076--587707  ,charlie.becker@distansakademin.se,medium
Bob Larsson,invalid_mail,073--340713  ,bob.larsson@distansakademin.se,high
Charlie Becker,29,079--431417  ,charlie.becker@distansakademin.se,medium
Bob Jackson,invalid_age,077--963787  ,bob.jackson@distansakademin.se,high
Kivilä Larsson,28,076--673583  ,kivilä.larsson@distansakademin.se,low
Alice Larsson,44,078--164044  ,alice.larsson@distansakademin.se,high
Charlie Larsson,invalid_age,079--702716  ,charlie.larsson@distansakademin.se,high
Rafael Rasmus,61,073--922482  ,rafael.rasmus@distansakademin.se,low
Kivilä Rasmus,18,071--806373  ,kivilä.rasmus@distansakademin.se,high
Kivilä Becker,37,077--741181  ,kivilä.becker@distansakademin.se,medium
Charlie Rasmus,65,076--970129  ,charlie.rasmus@distansakademin.se,high
Rafael Jackson,invalid_mail,078--777500  ,rafael.jackson@distansakademin.se,medium
Kivilä Larsson,22,079--357906  ,kivilä.larsson@distansakademin.se,low
Alice Becker,62,074--615296  ,alice.becker@distansakademin.se,medium
Bob Rasmus,45,071--307091  ,bob.rasmus@distansakademin.se,medium
Alice Rasmus,61,076--943969  ,alice.rasmus@distansakademin.se,high
Alice Smith,65,076--297936  ,alice.smith@distansakademin.se,low
Bob Rasmus,36,075--627026  ,bob.rasmus@distansakademin.se,medium
Kivilä Smith,60,078--741080  ,kivilä.smith@distansakademin.se,low
Kivilä Larsson,39,075--481151  ,kivilä.larsson@distansakademin.se,medium
Charlie Smith,invalid_mail,074--559586  ,charlie.smith@distansakademin.se,high
Bob Becker,invalid_age,079--257638  ,bob.becker@distansakademin.se,low
Rafael Smith,38,074--119755  ,rafael.smith@distansakademin.se,low
Rafael Smith,33,075--323601  ,rafael.smith@distansakademin.se,high
Bob Larsson,36,071--434604  ,bob.larsson@distansakademin.se,high
Charlie Rasmus,46,076--634599  ,charlie.rasmus@distansakademin.se,medium
Rafael Becker,invalid_age,075--484200  ,rafael.becker@distansakademin.se,low
Kivilä Smith,63,078--326656  ,kivilä.smith@distansakademin.se,high
Charlie Jackson,invalid_mail,075--577000  ,charlie.jackson@distansakademin.se,medium
Bob Rasmus,invalid_mail,077--197988  ,bob.rasmus@distansakademin.se,medium
Rafael Smith,invalid_mail,078--166336  ,rafael.smith@distansakademin.se,medium
Charlie Smith,27,075--325892  ,charlie.smith@distansakademin.se,high
Charlie Larsson,46,073--824554  ,charlie.larsson@distansakademin.se,medium
Charlie Becker,60,075--225176  ,charlie.becker@distansakademin.se,high
Charlie Rasmus,invalid_mail,078--945464  ,charlie.rasmus@distansakademin.se,low
Bob Smith,52,077--418806  ,bob.smith@distansakademin.se,medium
Charlie Jackson,56,076--605476  ,charlie.jackson@distansakademin.se,low
Rafael Larsson,19,073--801112  ,rafael.larsson@distansakademin.se,low
Alice Larsson,32,072--297357  ,alice.larsson@distansakademin.se,low
Charlie Rasmus,61,074--697070  ,charlie.rasmus@distansakademin.se,low
Alice Becker,22,073--114840  ,alice.becker@distansakademin.se,medium
Charlie Smith,invalid_age,071--843708  ,charlie.smith@distansakademin.se,high
Bob Becker,65,072--601185  ,bob.becker@distansakademin.se,medium
Bob Becker,42,074--476947  ,bob.becker@distansakademin.se,low
Rafael Rasmus,64,073--340541  ,rafael.rasmus@distansakademin.se,medium
Rafael Becker,invalid_age,076--825083  ,rafael.becker@distansakademin.se,medium
Charlie Smith,23,073--218820  ,charlie.smith@distansakademin.se,medium
Kivilä Rasmus,50,074--596655  ,kivilä.rasmus@distansakademin.se,medium
Charlie Rasmus,invalid_mail,073--368677  ,charlie.rasmus@distansakademin.se,medium
Charlie Larsson,invalid_age,076--530068  ,charlie.larsson@distansakademin.se,medium
Alice Larsson,invalid_age,071--911601  ,alice.larsson@distansakademin.se,medium
Bob Rasmus,42,074--555565  ,bob.rasmus@distansakademin.se,low
Rafael Becker,invalid_mail,074--765727  ,rafael.becker@distansakademin.se,high
Rafael Becker,26,077--976254  ,rafael.becker@distansakademin.se,medium
Kivilä Larsson,28,074--535253  ,kivilä.larsson@distansakademin.se,high
Charlie Rasmus,62,076--623227  ,charlie.rasmus@distansakademin.se,high
Alice Smith,invalid_mail,074--247854  ,alice.smith@distansakademin.se,medium
Alice Larsson,33,079--956857  ,alice.larsson@distansakademin.se,medium
Kivilä Jackson,49,075--629623  ,kivilä.jackson@distansakademin.se,high
Kivilä Jackson,61,079--971805  ,kivilä.jackson@distansakademin.se,medium
